id,colour,size
PN70819,"Aubergine,Mushroom,","Small,Medium,Large,"
PN9130,"Black,Cliff,Cru,Daghir,Lepdt,Lob,","One Size,"
PN8144,"Black,Cedar,Carmelita,Cru,Plum,Pumpkin,Sanders,","One Size,"
PN8145,"Black,Charcoal,","One Size,"
PN8149,"Afgan Graphite/Black,Baster/Reign,Black,Durma/Niagara,Ehtel/Navy,Green Hunt/Military,Indiancross/Grey,Lannins/Rosebud,Pinksberry/Black,Pixelize/Black,Pixels/Navy,Snowflakes/Black,Snowflow/Reign,Weft/Grey,Yamuna/Cru,","One Size,"
PN8150,"Alibaba/Black,Arashi/Black,Baltia/Champagne,Cordes/Evening Sky,Ghomala/Evening Sky,Icons Logo/Black,Kasba/Black,Kaze/Black,Multi/Black,Pointed/Gargoyle,Purplejeff/Paloma Pink,Ratak/Gargoyle,Scrap/Black,Snow Hawai/Champagne,","One Size,"
PN8152,"Kanyee/Black,Oby/Mardi Grape,Op Grey/Black,Pinksberry/Black,Pixelize/Gargoyke,","One Size,"
PN9159,"Charcoal/Graphite,","20 LitreS,"
PN9160,"Mykonos Blue/Blue Jewel,","18 Litres,"
PN9161,"Black/Skydiver,Engine Red/Silver,","18 Litres,"
PN9162,"Black/Skydiver,Blue Jewel/Bright Fuschia,","6.5 Litres,"
PN9163,"Charcoal/Graphite,Deep Olive/Sprout,","18 Litres,"
PN9164,"Mykonos Blue,","18 Litres,"
PN9165,"Black/Lemon Chrome,","2 Litres,"
PN9168,"Graphite,","0.6 Litres,"
PN9169,"Graphite,","0.75 Litres,"
PN9170,"Royal Lilac,Charcoal,Navy,Grass,","1 Litre,"
PN9171,"Royal Lilac,Charcoal,Navy,Grass,Chilli Red,","0.75 Litres,"
PN251,,
PN30203,"Metal,","10.5cm,11cm,14cm,14.5cm,"
PN60200,,"90mm,95mm,115mm,120mm,125mm,130mm,"
PN11055,"Orange,","Size 1,Size 2,"
PN31561,,
PN5478,"Larch Green,Parchment,","Small,Medium,Large,XLarge,"
PN8569,"Black/Granite,Fire/Granite,","32 Litres,"
PN8570,"Black/Titan,Spring/Anthracite,Magenta/Blackberry,","10 Litres,"
PN8574,"Lemon/Platin,","28 Litres,"
PN11005,,
PN11034,,
PN11036,,
PN11074,,
PN166,"Green,","50m,"
PN167,"Copper,","60m,"
PN19373,,
PN30086,,
PN30094,,
PN30099,"Silver Anod,BLT,","One size,"
PN30101,"Silver,","12cm,18cm,"
PN30108,"Black,","Standard,X-Large,"
PN30109,,
PN30111,"Black,","Small,Medium,Large,XL,"
PN30114,,
PN30115,,
PN30116,,
PN30118,"N/A,","Size 00,Size 0,Size 0.5,Size 0.75,Size 1,Size 2,Size 3,Size 4,Size 5,Size 6,Size 7,Size 8,Size 9,Size 10,Size 11,"
PN336,,
PN337,,
PN38446,,
PN38447,,
PN436,,
PN4511,,
PN4512,,
PN4513,,
PN4515,"Grey,","50cm,55cm,"
PN4516,"Grey,","50cm,55cm,"
PN4517,,
PN4518,,
PN4519,,
PN4524,,
PN4528,,
PN4548,,
PN4549,"Grey,","50cm,55cm,60cm,65cm,"
PN511,"Grey,Blue,Red,Green,","One Size,"
PN513,"Grey,Blue,Red,Green,","One Size,"
PN515,"Grey,Blue,Red,Green,","One Size,"
PN516,,
PN517,,
PN5543,,
PN5544,,
PN57722,"Silver,","Size 1,Size 2,Size 3,Size 4,Size 5,Size 6,Size 00,Size 0,"
PN57725,,
PN60179,,
PN60182,"size 1,size 2,size 3,size 4,",
PN70572,,
PN70575,,
PN76011,,
PN84175,,
PN84177,,
PN8441,"Grey,Red,Green,","45 Litres,"
PN8442,"Grey,Red,Green,","45 Litres,"
PN8443,"Green,","45 Litres,"
PN8444,"Red,","75 Litres,"
PN8445,"Grey,","100 Litres,"
PN8447,"Grey,Blue,Red,Green,","One Size,"
PN9146,"Grey/Red,","Small,Medium,Large,"
PN9179,,
PN31378,,
PN31379,,
PN31380,,
PN11085,,
PN8798,"Black,Red,Blue,Gray,Olive,Purple,","iPhone 5,"
PN8805,"Black,Red,Blue,Gray,Olive,Purple,","iPhone 4,"
PN8806,"Blue,Red,Gray,Olive,","iPad,"
PN8807,"Black,Gray,Purple,","iPad,"
PN8808,"Blue,Gray,Green,Magenta,","15 Inch,"
PN8809,"Gray,Green,Magenta,Blue,","17 Inches,"
PN19395,,
PN19397,,
PN19401,,
PN19413,,
PN19414,,
PN19416,,
PN19418,,
PN19419,,
PN57231,"Lime,Black,Olive,","30 Litres,"
PN57233,"Cyan,Black,Terracotta,Olive,","80 Litres,"
PN70041,,
PN70042,,
PN70045,,
PN70046,,
PN70049,,
PN8645,,
PN8647,,
PN9107,"Sand,Lime,Black,Olive,","1 litre,"
PN9108,"Green,Orange,Black,Olive,","3 litre,"
PN9109,"Corn Yellow,Yellow,Black,Olive,","5 litre,"
PN9110,"Terracotta,Red,Black,Olive,","8 litre,"
PN9111,"Sky Blue,Blue,Black,Olive,","13 litre,"
PN9112,"Ruby Red,Emerald Green,Black,Olive,","22 litre,"
PN9113,"Charcoal Grey,Cyan,Black,Olive,","40 litre,"
PN35006,,"Small,Medium,Large,XLarge,"
PN7800,"Black,","XSmall,Small/Medium,Large/XLarge,"
PN7801,"Black,","Small,Medium,Large,XLarge,"
PN7802,"Black,","Small,Medium,Large,XLarge,"
PN7803,"Black,","Small,Medium,Large,XLarge,"
PN7804,"Black,","Small,Medium,Large,XLarge,"
PN7805,"Black,","One Size,"
PN7806,"Black,","One Size,"
PN7807,"Black,","One Size,"
PN7808,"Black,","One Size,"
PN7810,"Black,","Small,Medium,Large,XLarge,"
PN7812,"Black,","Small/Medium,Large/XLarge,"
PN7813,"Black,","One size,"
